Date,Open,High,Low,Close
2025-01-20,15.75,17.02,15.18,16.42
2025-01-21,16.42,17.45,15.20,17.06
2025-01-22,17.06,17.30,15.91,16.77
2025-01-23,16.77,17.08,15.67,16.70
2025-01-24,16.70,17.31,16.12,16.75
2025-01-27,16.75,18.52,16.75,18.13
2025-01-28,18.13,18.50,16.83,18.20
2025-01-29,18.20,19.01,17.29,18.64
2025-01-30,18.64,18.99,17.22,17.39
2025-01-31,17.39,17.94,16.11,16.25
2025-02-03,14.10,15.11,14.10,14.35
2025-02-04,14.35,15.13,13.67,14.02
2025-02-05,14.02,14.30,13.50,14.08
2025-02-06,14.08,14.64,13.15,14.18
2025-02-07,14.18,14.51,13.55,13.69
2025-02-10,13.69,14.72,13.69,14.45
2025-02-11,14.45,15.43,13.85,14.87
2025-02-12,14.87,15.62,14.61,14.90
2025-02-13,14.90,15.47,12.20,14.96
2025-02-14,14.96,15.68,14.36,15.02
2025-02-17,15.02,16.31,14.50,15.72
2025-02-18,15.72,16.32,14.78,15.67
2025-02-19,15.67,16.02,14.75,15.42
2025-02-20,15.42,15.90,14.64,14.68
2025-02-21,14.68,15.24,12.08,14.53
2025-02-24,14.53,15.58,14.37,14.44
2025-02-25,14.44,15.08,13.61,13.72
2025-02-27,13.72,14.01,12.91,13.31
2025-02-28,13.31,14.12,13.23,13.91
2025-03-03,13.91,14.36,13.57,13.76
2025-03-04,13.76,14.20,13.37,13.83
2025-03-05,13.83,14.13,13.10,13.67
2025-03-06,13.67,14.18,13.28,13.73
2025-03-07,13.73,13.86,13.33,13.47
2025-03-10,13.47,14.21,13.47,13.99
2025-03-11,13.99,14.50,13.68,14.07
2025-03-12,14.07,14.37,13.64,13.69
2025-03-13,13.69,13.93,13.22,13.28
2025-03-17,13.28,14.10,13.28,13.42
2025-03-18,13.42,13.65,11.34,13.21
2025-03-19,13.21,13.57,12.59,13.30
2025-03-20,13.30,13.30,12.51,12.60
2025-03-21,12.60,12.84,10.70,12.58
2025-03-24,12.58,13.95,12.58,13.70
2025-03-25,13.70,14.48,13.49,13.64
2025-03-26,13.64,13.92,13.31,13.47
2025-03-27,13.47,13.85,12.98,13.30
2025-03-28,13.30,13.61,12.57,12.72
2025-04-01,12.72,14.05,12.72,13.78
2025-04-02,13.78,14.14,13.51,13.72
2025-04-03,13.72,14.11,13.41,13.60
2025-04-04,13.60,14.25,13.40,13.76
2025-04-07,13.76,23.19,13.76,22.79
2025-04-08,22.79,22.79,19.38,20.44
2025-04-09,20.44,21.75,19.70,21.43
2025-04-11,21.43,21.43,18.86,20.11
2025-04-15,20.11,20.11,15.97,16.13
2025-04-16,16.13,16.13,15.12,15.87
2025-04-17,15.87,16.46,15.09,15.47
2025-04-21,15.47,16.33,14.22,15.52
2025-04-22,15.52,16.01,14.54,15.23
2025-04-23,15.23,16.52,12.84,15.96
2025-04-24,15.96,16.76,15.55,16.25
2025-04-25,16.25,17.58,15.92,17.16
2025-04-28,17.16,18.07,16.62,16.94
2025-04-29,16.94,17.59,16.07,17.37
2025-04-30,17.37,18.56,15.99,18.22
2025-05-02,18.22,18.86,17.35,18.26
2025-05-05,18.26,18.80,18.07,18.34
2025-05-06,18.34,19.30,17.99,19.00
2025-05-07,19.00,19.73,18.36,19.06
2025-05-08,19.06,21.89,18.15,21.01
2025-05-09,21.01,22.75,21.00,21.63
2025-05-12,21.63,21.63,17.21,18.39
2025-05-13,18.39,18.90,17.89,18.20
2025-05-14,18.20,19.24,17.08,17.23
2025-05-15,17.23,17.67,16.72,16.89
2025-05-16,16.89,17.06,16.22,16.55
2025-05-19,16.55,17.45,15.83,17.36
2025-05-20,17.36,17.66,15.97,17.39
2025-05-21,17.39,18.00,17.04,17.55
2025-05-22,17.55,18.20,16.70,17.26
2025-05-23,17.26,17.52,15.49,17.28
2025-05-26,17.28,18.41,16.06,18.02
2025-05-27,18.02,19.18,17.42,18.54
2025-05-28,18.54,19.04,17.88,18.02
2025-05-29,18.02,18.02,16.21,16.42
2025-05-30,16.42,16.55,15.29,16.08
2025-06-02,16.08,17.73,16.08,17.16
2025-06-03,17.16,17.73,16.26,16.56
2025-06-04,16.56,17.06,15.63,15.75
2025-06-05,15.75,15.93,14.98,15.08
2025-06-06,15.08,15.61,14.37,14.63
2025-06-09,14.63,15.52,14.63,14.69
2025-06-10,14.69,14.74,13.93,14.02
2025-06-11,14.02,14.16,13.56,13.67
2025-06-12,13.67,14.27,13.13,14.02
2025-06-13,14.02,15.98,14.02,15.08
2025-06-16,15.08,15.47,14.55,14.84
2025-06-17,14.84,15.02,14.30,14.40
2025-06-18,14.40,14.82,14.11,14.28
2025-06-19,14.28,14.37,13.74,14.26
2025-06-20,14.26,14.26,13.32,13.67
2025-06-23,13.67,14.52,13.66,14.05
2025-06-24,14.05,14.34,13.31,13.64
2025-06-25,13.64,13.64,12.90,12.96
2025-06-26,12.96,13.33,12.52,12.59
2025-06-27,12.59,12.92,12.32,12.39
2025-06-30,12.39,13.03,12.39,12.79
2025-07-01,12.79,12.99,12.44,12.53
2025-07-02,12.53,12.66,12.34,12.45
2025-07-03,12.45,12.66,12.19,12.39
2025-07-04,12.39,12.70,12.24,12.32
2025-07-07,12.32,12.79,11.94,12.56
2025-07-08,12.56,12.71,12.06,12.20
2025-07-09,12.20,12.36,11.75,11.94
2025-07-10,11.94,12.19,11.61,11.67
2025-07-11,11.67,12.12,11.54,11.82
2025-07-14,11.82,12.42,11.82,11.98
2025-07-15,11.98,12.03,11.41,11.48
2025-07-16,11.48,11.67,11.20,11.24
2025-07-17,11.24,11.54,10.73,11.24
2025-07-18,11.24,11.86,9.90,11.39
2025-07-21,11.39,11.94,11.09,11.20
2025-07-22,11.20,11.23,10.69,10.75
2025-07-23,10.75,10.75,10.22,10.52
2025-07-24,10.52,11.11,9.87,10.72
2025-07-25,10.72,11.58,10.61,11.28
2025-07-28,11.28,12.23,10.33,12.06
2025-07-29,12.06,12.30,11.40,11.53
2025-07-30,11.53,11.78,10.61,11.21
2025-07-31,11.21,12.12,11.21,11.54
2025-08-01,11.54,12.11,11.40,11.98
2025-08-04,11.98,12.63,11.80,11.97
2025-08-05,11.97,12.18,11.64,11.71
2025-08-06,11.71,12.05,10.66,11.96
2025-08-07,11.96,12.31,11.56,11.69
2025-08-08,11.69,12.20,10.90,12.03
2025-08-11,12.03,12.73,12.03,12.22
2025-08-12,12.22,12.42,11.60,12.23
2025-08-13,12.23,12.35,10.78,12.14
2025-08-14,12.14,12.47,11.47,12.36
2025-08-18,12.36,13.47,11.75,12.34
2025-08-19,12.34,12.34,11.76,11.79
2025-08-20,11.79,11.99,10.19,11.79
2025-08-21,11.79,11.89,10.09,11.37
2025-08-22,11.37,11.79,10.70,11.73
2025-08-25,11.73,12.35,11.55,11.76
2025-08-26,11.76,12.55,10.93,12.19
2025-08-28,12.19,13.15,11.58,12.18
2025-08-29,12.18,12.20,11.59,11.75
2025-09-01,11.75,12.20,11.24,11.29
2025-09-02,11.29,11.78,10.78,11.40
2025-09-03,11.40,11.58,10.85,10.93
2025-09-04,10.93,11.24,10.49,10.85
2025-09-05,10.85,11.44,9.95,10.78
2025-09-08,10.78,11.08,10.42,10.84
2025-09-09,10.84,11.45,9.85,10.69
2025-09-10,10.69,10.84,10.25,10.54
2025-09-11,10.54,10.78,10.18,10.36
2025-09-12,10.36,10.36,9.85,10.12
2025-09-15,10.12,10.68,9.90,10.40
2025-09-16,10.40,10.50,9.76,10.27
2025-09-17,10.27,10.36,9.62,10.25
2025-09-18,10.25,10.25,9.49,9.89
2025-09-19,9.89,10.26,9.40,9.97
2025-09-22,9.97,10.73,9.97,10.56
2025-09-23,10.56,10.90,9.96,10.63
2025-09-24,10.63,10.89,10.11,10.52
2025-09-25,10.52,10.90,10.29,10.78
2025-09-26,10.78,11.68,10.17,11.43
2025-09-29,11.43,11.73,10.62,11.37
2025-09-30,11.37,11.79,10.93,11.07
2025-10-01,11.07,11.26,10.15,10.29
2025-10-03,10.29,10.62,9.95,10.06
2025-10-06,10.06,10.54,9.66,10.19
2025-10-07,10.19,10.45,10.00,10.05
2025-10-08,10.05,10.52,9.69,10.31
2025-10-09,10.31,10.57,10.00,10.12
2025-10-10,10.12,10.34,9.71,10.10
2025-10-13,10.10,11.26,9.78,11.01
2025-10-14,11.01,11.67,10.01,11.16
2025-10-15,11.16,11.16,10.43,10.53
2025-10-16,10.53,11.06,10.38,10.87
