Date,ATM_IV,Event_Impact_Score,IVP,PCR,IV_Skew,FII_Derivative_Positioning,VIX,Days_to_Expiry,5_Day_Historical_RV,Next_5_Day_RV
2024-12-10,15.30,0,66.20,0.61,4.40,12000,15.90,2,26.10,27.50
2024-12-11,15.60,1,67.50,0.63,4.50,9000,16.20,1,26.40,27.80
2024-12-12,16.00,0,68.80,0.65,4.60,6000,16.60,0,26.80,28.20
2024-12-13,16.40,0,70.10,0.67,4.70,3000,17.00,6,27.20,28.60
2024-12-16,16.80,0,71.40,0.69,4.80,0,17.40,3,27.60,29.00
2024-12-17,17.20,1,72.70,0.71,4.90,-3000,17.80,2,28.00,29.40
2024-12-18,17.60,0,74.00,0.73,5.00,-6000,18.20,1,28.40,29.80
2024-12-19,18.00,0,75.30,0.75,5.10,-9000,18.60,0,28.80,30.20
2024-12-20,18.40,1,76.60,0.77,5.20,-12000,19.00,6,29.20,30.60
2024-12-23,18.80,0,77.90,0.79,5.30,-15000,19.40,3,29.60,31.00
2024-12-24,19.20,0,79.20,0.81,5.40,-18000,19.80,2,30.00,31.40
2024-12-26,19.60,0,80.50,0.83,5.50,-21000,20.20,0,30.40,31.80
2024-12-27,20.00,1,81.80,0.85,5.60,-24000,20.60,6,30.80,32.20
2024-12-30,20.40,0,83.10,0.87,5.70,-27000,21.00,3,31.20,32.60
2024-12-31,20.80,2,84.40,0.89,6.00,-30000,21.40,2,31.60,35.00
2025-01-01,22.50,0,86.70,0.92,6.20,-33000,23.10,1,32.00,36.20
2025-01-02,23.00,0,88.00,0.94,6.30,-36000,23.60,0,32.40,36.60
2025-01-03,22.20,1,86.30,0.91,6.10,-34000,22.80,6,31.80,35.40
2025-01-06,21.40,0,84.60,0.88,5.90,-32000,22.00,3,31.20,34.20
2025-01-07,20.60,0,82.90,0.85,5.70,-30000,21.20,2,30.60,33.00
2025-01-08,19.80,1,81.20,0.82,5.50,-28000,20.40,1,30.00,31.80
2025-01-09,19.00,0,79.50,0.79,5.30,-26000,19.60,0,29.40,30.60
2025-01-10,18.20,0,77.80,0.76,5.10,-24000,18.80,6,28.80,29.40
2025-01-13,17.40,0,76.10,0.73,4.90,-22000,18.00,3,28.20,28.20
2025-01-14,16.60,1,74.40,0.70,4.70,-20000,17.20,2,27.60,27.00
2025-01-15,15.80,0,72.70,0.67,4.50,-18000,16.40,1,27.00,26.40
2025-01-16,15.00,0,71.00,0.64,4.30,-16000,15.60,0,26.40,25.80
2025-01-17,14.20,0,69.30,0.61,4.10,-14000,14.80,6,25.80,25.20
2025-01-20,13.40,0,67.60,0.58,3.90,-12000,14.00,3,25.20,24.60
2025-01-21,12.60,1,65.90,0.55,3.70,-10000,13.20,2,24.60,24.00
2025-01-22,11.80,0,64.20,0.52,3.50,-8000,12.40,1,24.00,23.40
2025-01-23,11.00,0,62.50,0.50,3.30,-6000,11.60,0,23.40,22.80
2025-01-24,10.50,0,61.00,0.48,3.20,-4000,11.10,6,23.00,22.40
2025-01-27,10.80,0,61.80,0.49,3.30,-2000,11.40,3,23.30,22.70
2025-01-28,11.10,1,62.60,0.50,3.40,0,11.70,2,23.60,23.00
2025-01-29,11.40,0,63.40,0.51,3.50,2000,12.00,1,23.90,23.30
2025-01-30,11.70,0,64.20,0.52,3.60,4000,12.30,0,24.20,23.60
2025-01-31,12.00,0,65.00,0.53,3.70,6000,12.60,6,24.50,23.90
2025-02-03,12.30,0,65.80,0.54,3.80,8000,12.90,3,24.80,24.20
2025-02-04,12.60,1,66.60,0.55,3.90,10000,13.20,2,25.10,24.50
2025-02-05,12.90,0,67.40,0.56,4.00,12000,13.50,1,25.40,24.80
2025-02-06,13.20,0,68.20,0.57,4.10,14000,13.80,0,25.70,25.10
2025-02-07,13.50,0,69.00,0.58,4.20,16000,14.10,6,26.00,25.40
2025-02-10,13.80,0,69.80,0.59,4.30,18000,14.40,3,26.30,25.70
2025-02-11,14.10,1,70.60,0.60,4.40,20000,14.70,2,26.60,26.00
2025-02-12,14.40,0,71.40,0.61,4.50,22000,15.00,1,26.90,26.30
2025-02-13,14.70,0,72.20,0.62,4.60,24000,15.30,0,27.20,26.60
2025-02-14,15.00,0,73.00,0.63,4.70,26000,15.60,6,27.50,26.90
2025-02-17,15.30,0,73.80,0.64,4.80,28000,15.90,3,27.80,27.20
2025-02-18,15.60,1,74.60,0.65,4.90,30000,16.20,2,28.10,27.50
2025-02-19,15.90,0,75.40,0.66,5.00,32000,16.50,1,28.40,27.80
2025-02-20,16.20,0,76.20,0.67,5.10,34000,16.80,0,28.70,28.10
2025-02-21,16.50,1,77.00,0.68,5.20,36000,17.10,6,29.00,28.40
2025-02-24,16.80,0,77.80,0.69,5.30,38000,17.40,3,29.30,28.70
2025-02-25,17.10,0,78.60,0.70,5.40,40000,17.70,2,29.60,29.00
2025-02-26,17.40,1,79.40,0.71,5.50,42000,18.00,1,29.90,29.30
2025-02-27,17.70,0,80.20,0.72,5.60,44000,18.30,0,30.20,29.60
2025-02-28,18.00,0,81.00,0.73,5.70,46000,18.60,6,30.50,29.90
2025-03-03,18.30,0,81.80,0.74,5.80,48000,18.90,3,30.80,30.20
2025-03-04,18.60,1,82.60,0.75,5.90,50000,19.20,2,31.10,30.50
2025-03-05,18.90,0,83.40,0.76,6.00,48000,19.50,1,31.40,30.80
2025-03-06,19.20,0,84.20,0.77,6.10,46000,19.80,0,31.70,31.10
2025-03-07,19.50,0,85.00,0.78,6.20,44000,20.10,6,32.00,31.40
2025-03-10,19.80,1,85.80,0.79,6.30,42000,20.40,3,32.30,31.70
2025-03-11,20.10,0,86.60,0.80,6.40,40000,20.70,2,32.60,32.00
2025-03-12,20.40,0,87.40,0.81,6.50,38000,21.00,1,32.90,32.30
2025-03-13,20.70,0,88.20,0.82,6.60,36000,21.30,0,33.20,32.60
2025-03-14,21.00,1,89.00,0.83,6.70,34000,21.60,6,33.50,32.90
2025-03-17,21.30,0,89.80,0.84,6.80,32000,21.90,3,33.80,33.20
2025-03-18,21.60,0,90.00,0.85,6.90,30000,22.20,2,34.10,33.50
2025-03-19,21.90,1,90.00,0.86,7.00,28000,22.50,1,34.40,33.80
2025-03-20,22.20,0,90.00,0.87,7.10,26000,22.80,0,34.70,34.10
2025-03-21,22.50,0,90.00,0.88,7.20,24000,23.10,6,35.00,34.40
2025-03-24,22.80,1,90.00,0.89,7.30,22000,23.40,3,35.30,34.70
2025-03-25,23.10,0,90.00,0.90,7.40,20000,23.70,2,35.60,35.00
2025-03-26,23.40,0,90.00,0.91,7.50,18000,24.00,1,35.90,35.30
2025-03-27,23.70,0,90.00,0.92,7.60,16000,24.30,0,36.20,35.60
2025-03-28,24.00,1,90.00,0.93,7.70,14000,24.60,6,36.50,35.90
2025-03-31,24.30,0,90.00,0.94,7.80,12000,24.90,3,36.80,36.20
2025-04-01,24.60,0,90.00,0.95,7.90,10000,25.20,2,37.10,36.50
2025-04-02,24.90,1,90.00,0.96,8.00,8000,25.50,1,37.40,36.80
2025-04-03,25.20,0,90.00,0.97,8.10,6000,25.80,0,37.70,37.10
2025-04-04,25.50,0,90.00,0.98,8.20,4000,26.10,6,38.00,37.40
2025-04-07,25.80,0,90.00,0.99,8.30,2000,26.40,3,38.30,37.70
2025-04-08,26.10,1,90.00,1.00,8.40,0,26.70,2,38.60,38.00
2025-04-09,26.40,0,90.00,1.01,8.50,-2000,27.00,1,38.90,38.30
2025-04-10,26.70,0,90.00,1.02,8.60,-4000,27.30,0,39.20,38.60
2025-04-11,27.00,1,90.00,1.03,8.70,-6000,27.60,6,39.50,38.90
2025-04-14,27.30,0,90.00,1.04,8.80,-8000,27.90,3,39.80,39.20
2025-04-15,27.60,0,90.00,1.05,8.90,-10000,28.20,2,40.00,39.50
2025-04-16,27.90,1,90.00,1.06,9.00,-12000,28.50,1,40.00,39.80
2025-04-17,28.20,0,90.00,1.07,9.10,-14000,28.80,0,40.00,40.00
2025-04-18,28.50,0,90.00,1.08,9.20,-16000,29.10,6,40.00,40.00
2025-04-21,28.80,1,90.00,1.09,9.30,-18000,29.40,3,40.00,40.00
2025-04-22,29.10,0,90.00,1.10,9.40,-20000,29.70,2,40.00,40.00
2025-04-23,29.40,0,90.00,1.11,9.50,-22000,30.00,1,40.00,40.00
2025-04-24,29.70,0,90.00,1.12,9.60,-24000,30.30,0,40.00,40.00
2025-04-25,30.00,1,90.00,1.13,9.70,-26000,30.60,6,40.00,40.00
2025-04-28,30.30,0,90.00,1.14,9.80,-28000,30.90,3,40.00,40.00
2025-04-29,30.60,0,90.00,1.15,9.90,-30000,31.20,2,40.00,40.00
2025-04-30,30.90,1,90.00,1.16,10.00,-32000,31.50,1,40.00,40.00
2025-05-01,31.20,0,90.00,1.17,10.10,-34000,31.80,0,40.00,40.00
2025-05-02,31.50,0,90.00,1.18,10.20,-36000,32.10,6,40.00,40.00
2025-05-05,31.80,0,90.00,1.19,10.30,-38000,32.40,3,40.00,40.00
2025-05-06,32.10,1,90.00,1.20,10.40,-40000,32.70,2,40.00,40.00
2025-05-07,32.40,0,90.00,1.21,10.50,-42000,33.00,1,40.00,40.00
2025-05-08,32.70,0,90.00,1.22,10.60,-44000,33.30,0,40.00,40.00
2025-05-09,33.00,0,90.00,1.23,10.70,-46000,33.60,6,40.00,40.00
2025-05-12,33.30,1,90.00,1.24,10.80,-48000,33.90,3,40.00,40.00
2025-05-13,33.60,0,90.00,1.25,10.90,-50000,34.20,2,40.00,40.00
2025-05-14,33.90,0,90.00,1.26,11.00,-48000,34.50,1,40.00,40.00
2025-05-15,34.20,0,90.00,1.27,11.10,-46000,34.80,0,40.00,40.00
2025-05-16,34.50,1,90.00,1.28,11.20,-44000,35.10,6,40.00,40.00
2025-05-19,34.80,0,90.00,1.29,11.30,-42000,35.40,3,40.00,40.00
2025-05-20,35.10,0,90.00,1.30,11.40,-40000,35.70,2,40.00,40.00
