,,,,,,,,,ATM_IV,VIX,IV_Skew,PCR,5_Day_Historical_RV,IVP,ATM_IV_minus_RV,FII_Derivative_Positioning,Days_to_Expiry,Event_Impact_Score,Next_5_Day_Volatility
50,37.60625876,10,1.432470586,31.99555952,56.27168502,18.00444048,-20696761.68,1,1,59.67467263,,,,,,,,,
10,10,4.636189645,0.9390863842,6.440590791,55.26525943,3.559409209,31197334.92,2,0,7.886777959,,,,,,,,,
45.5671881,31.94164496,6.6052077,0.9532968294,26.29234694,73.30970191,19.27484116,34485787.88,1,0,32.83210615,,,,,,,,,
50,50,10,0.8764369102,30.02077281,66.55134202,19.97922719,-57759609.21,7,1,54.84620658,,,,,,,,,
32.68590664,26.19720771,6.253938813,0.8737046558,21.52604141,51.84355553,11.15986523,-16237354.18,6,0,27.30017884,,,,,,,,,
44.34662285,50,7.503053955,0.9021929403,27.13312943,63.44087019,17.21349342,20933681.91,3,0,40.50599231,,,,,,,,,
50,48.71172919,4.861708746,0.6975741067,29.99325883,66.704126,20.00674117,-3160593.733,5,1,55.11822408,,,,,,,,,
11.93812118,15.2729778,4.210226956,1.502931194,9.475158963,25.99388813,2.462962221,45136753.97,7,0,11.25832495,,,,,,,,,
50,41.84227325,10,0.5,27.9721821,78.74901506,16.9317285,20205028.26,3,1,44.16419625,,,,,,,,,
50,50,4.647588785,1.343126213,23.71472617,95,19.81949221,-8030553.129,5,1,41.87763325,,,,,,,,,
50,49.92670669,10,1.681207857,28.30929299,76.62044762,16.76815312,-5360081.134,4,2,58.69905981,,,,,,,,,
42.72799383,37.654856,5.354076385,0.7450466892,27.53591381,55.17187528,15.19208002,-1703694.978,6,0,36.2312966,,,,,,,,,
50,33.63842721,7.073762138,0.856702766,27.52536723,81.65061919,22.47463277,-25378721.9,2,0,33.81969328,,,,,,,,,
50,49.05938327,10,0.8469950803,23.77333944,95,23.41135795,28176424.07,7,1,41.54746899,,,,,,,,,
43.14225116,28.01439038,6.630207809,1.113190148,19.48726024,95,16.46461573,22272864.53,1,1,30.23073438,,,,,,,,,
50,32.45601119,8.38738893,1.406691358,29.79500062,67.81338799,20.20499938,13628123.03,3,0,39.25724861,,,,,,,,,
46.20152355,50,4.814775773,0.626603589,29.74049082,55.34889397,16.46103273,7277240.681,2,0,42.8868029,,,,,,,,,
13.31919627,31.87942196,5.141476233,0.9833245987,6.209613691,95,7.109582575,-30545933.37,5,0,8.190891028,,,,,,,,,
44.19952939,26.70661709,10,1.038766355,27.62995817,59.96958491,16.56957122,15125795.97,7,0,29.30759742,,,,,,,,,
41.64092192,41.13852876,6.83817245,1.067165207,19.19979088,95,22.44113104,3873074.18,7,0,26.23811521,,,,,,,,,
28.14288317,31.40036361,8.392598538,1.403626014,17.24634334,63.1817401,10.89653983,60068072.85,5,0,25.04215825,,,,,,,,,
50,43.00179547,5.956335951,0.962263924,29.18651909,71.31196715,20.81348091,-38798732.94,3,0,41.57725244,,,,,,,,,
50,50,4.471002422,1.458865096,28.69872177,74.22378737,12.13715191,-21698861.64,6,2,59.36626658,,,,,,,,,
37.62988152,29.01448492,4.15448941,0.5035429984,18.79375634,95,18.83612518,-47599336.71,5,0,24.18698506,,,,,,,,,
50,50,6.878909592,0.6114763684,29.97099703,66.82795018,20.02900297,-6540593.753,7,2,60,,,,,,,,,
41.95587541,50,6.477057475,0.5490571141,17.181495,95,17.78173451,-52226981.04,2,1,33.11861244,,,,,,,,,
36.31385404,29.59859524,1.13659139,0.98371154,20.68889696,75.52339361,15.62495708,35565049.09,2,0,27.06800759,,,,,,,,,
43.84317846,45.63172735,10,1.337969509,18.5192793,95,18.01670275,32767119.27,2,1,31.56190517,,,,,,,,,
35.96666964,22.2587243,10,1.01776553,26.18157927,37.37395012,9.785090376,-4788959.352,3,0,30.17337085,,,,,,,,,
40.20893938,33.91026095,6.359277293,0.9566918764,23.41426789,71.7283648,16.79467149,-30411653.65,7,0,32.94199411,,,,,,,,,
31.3950699,24.49481435,5.446368931,0.8369725687,18.41498295,70.48655423,12.98008695,-45723076.46,5,0,23.83377977,,,,,,,,,
43.96096989,43.38625807,7.248094683,1.451197897,17.49892051,95,11.80839275,-21115938.44,5,2,35.28332139,,,,,,,,,
10,21.08575528,5.34740675,0.5,5,95,5,18761141.17,4,0,6.704932693,,,,,,,,,
34.85968609,27.93828218,3.279422758,0.7666549937,23.02628912,51.39081207,11.83339697,-23611580.7,1,0,28.81600107,,,,,,,,,
23.34136232,39.68761965,6.259394831,1.381466528,15.28520568,52.70558214,8.056156636,57257285.28,1,0,20.0940031,,,,,,,,,
50,30.38639444,5.974248992,1.146812368,31.83587673,57.05551454,18.16412327,44720863.2,5,0,41.7930557,,,,,,,,,
21.66808287,29.84431912,4.263139184,0.8875537577,10.56492596,95,11.10315691,24718.30213,6,0,11.80483341,,,,,,,,,
50,50,9.038378171,1.347798941,32.27063043,54.93964429,17.72936957,-13856047.66,5,2,60,,,,,,,,,
23.78405009,30.19746011,5.856607316,0.9071360682,16.31011261,45.82394772,7.473937476,-17075876.99,2,0,19.53180198,,,,,,,,,
50,31.22139806,10,0.9445293591,26.47041113,88.89015268,18.4215842,47951302.82,3,1,43.26261467,,,,,,,,,
38.59098563,46.31860296,5.348746752,0.5774616111,21.08553497,83.02113602,11.07361973,-19700859.95,5,1,40.72259389,,,,,,,,,
16.6505624,26.11764698,2.148003257,1.526438255,10.53568068,58.03974034,6.114881712,28031068.58,4,0,13.12928351,,,,,,,,,
10,31.04993906,4.04481578,0.9709860664,5,95,5,653766.392,4,0,6.79185507,,,,,,,,,
31.8262137,32.84316206,5.334218834,1.330990565,18.73011641,69.91999939,13.09609728,21406866.42,6,0,23.74974037,,,,,,,,,
41.71341473,36.24755538,5.465447894,0.9829163129,24.06502876,73.33623467,17.64838597,-24611918.75,7,0,34.97318284,,,,,,,,,
44.61702653,21.92988065,4.219791233,1.222979228,26.9410545,65.60980024,17.67597204,-9987557.866,5,0,33.45799045,,,,,,,,,
50,40.6303021,8.096987931,1.104274512,27.58004152,81.29051752,14.98294005,-725475.5911,1,1,45.90035767,,,,,,,,,
31.9036048,22.79616969,5.907328353,0.7064881667,15.85948021,95,16.04412459,-18940998.53,3,0,16.5743864,,,,,,,,,
50,27.40640208,10,1.141779245,26.78711899,86.65687798,19.33667235,37476725.08,4,1,42.67396773,,,,,,,,,
43.84044601,44.57203056,8.993669296,1.30431102,24.66059274,77.77531332,19.17985327,-22929243.89,5,0,34.54963237,,,,,,,,,
12.38688653,10,3.259627317,1.007827315,5.874349307,95,6.512537223,-17310964.25,7,0,7.361098547,,,,,,,,,
50,38.55470253,9.024228354,0.7733851203,27.01271309,85.09803084,20.75217222,40761000.71,5,1,40.00228302,,,,,,,,,
36.99267955,20.1702804,5.189082081,0.5944946183,18.63268048,95,12.19455247,34947817.1,7,1,29.73356638,,,,,,,,,
30.43428145,41.79848838,4.20883185,1.789714619,16.26349163,87.13251829,9.098409576,47639363.17,2,1,28.19970793,,,,,,,,,
47.39976851,39.72786311,4.985582905,1.210092964,29.13651103,62.6816899,18.26325749,-57248194.92,4,0,39.67100802,,,,,,,,,
31.36543261,30.21023149,9.826959281,0.9711820301,19.19059598,63.44168071,12.17483663,6021682.471,2,0,28.11989317,,,,,,,,,
50,37.62787501,7.187334247,1.531240191,31.24348898,60.03334339,18.75651102,2708439.739,3,0,45.95440371,,,,,,,,,
36.71459296,50,8.24341575,0.8312599672,23.11794875,58.81423288,7.477545386,-16851986.53,3,1,39.72191821,,,,,,,,,
49.48611609,47.6467386,7.569703925,0.528932584,29.96345248,65.15492038,19.52266361,9733781.696,6,0,41.21311453,,,,,,,,,
34.91153084,30.92506053,6.732728458,1.186201629,19.49804222,79.05146802,9.594900139,-9643251.911,4,1,33.13740676,,,,,,,,,
50,36.07375351,10,1.183175724,27.52767588,81.63538478,15.13783914,4859768.052,2,2,56.85913505,,,,,,,,,
48.39685672,47.9642216,7.848118432,1.137754024,32.59370236,48.48529998,15.80315436,100000000,6,0,46.34302005,,,,,,,,,
38.94751433,19.17664767,6.90410017,1.062306306,24.48954633,59.03730436,14.457968,9513922.924,6,0,31.75499315,,,,,,,,,
44.07368256,25.33989194,4.584043676,1.315945856,24.75557717,78.03536654,19.31810539,10773947.94,1,0,35.0443563,,,,,,,,,
47.28800723,47.40960342,7.688075166,1.008926842,24.25376746,94.97180104,15.15290523,24636580.05,2,1,44.44231178,,,,,,,,,
50,37.45922818,7.176485627,0.8613174134,30.50227749,63.92218588,19.49772251,5419335.93,4,0,44.01333746,,,,,,,,,
33.48255659,27.70071498,5.992284104,0.8563754135,21.71989917,54.1561327,11.76265742,-32940980.28,4,0,31.33745702,,,,,,,,,
50,36.88182263,7.058414505,0.8680806825,28.25320666,76.97106244,21.74679334,-49401351.87,2,0,38.73254021,,,,,,,,,
50,47.83903247,9.200811757,0.5543318881,32.53264215,53.69178984,17.46735785,-878731.8811,5,0,50.04524595,,,,,,,,,
50,50,9.426795858,1.319644113,26.41392669,89.29408181,17.5918273,-8073330.851,5,2,54.79541078,,,,,,,,,
32.24067325,41.73248167,9.254138009,0.8911484319,21.02316246,53.35786571,11.21751079,-58908062.48,1,0,29.43690885,,,,,,,,,
39.98095461,50,10,0.8431419919,20.60982362,93.98979509,12.70763856,48881782.55,6,1,37.72916207,,,,,,,,,
50,42.08342579,4.947355187,0.7244044161,20.4635002,95,13.23369754,3210091.301,7,2,39.02693782,,,,,,,,,
24.9378885,18.98541193,5.043493059,1.07026442,15.43044592,61.61482713,9.507442579,43183090.64,6,0,20.08266145,,,,,,,,,
50,38.46859543,9.389613735,0.9358033467,31.34398402,59.52024466,18.65601598,-66955868.52,7,0,45.60296942,,,,,,,,,
50,50,5.876694652,1.114722924,27.4721362,82.00259213,11.78590815,43754611.67,1,2,55.07936986,,,,,,,,,
42.49678312,39.6183651,6.596710558,1.736590042,21.4633151,95,21.03346802,-14556152.4,1,0,26.85742495,,,,,,,,,
30.43390024,24.09249203,4.360836352,0.8333568643,19.34034604,57.3596469,11.0935542,37774736.46,4,0,23.16824528,,,,,,,,,
30.43919309,38.83547988,7.648449129,0.8287761119,18.35145145,65.86804144,12.08774164,6446054.214,4,0,26.13936242,,,,,,,,,
