"query_pattern","response_template","context_needed","tone"
"what.*option","Bhai, option ek contract hai jo tujhe future mein stock ya index kharidne/bechne ka right deta hai, par force nahi karta. Call = buy ka right, Put = sell ka right. IV {iv}% hai, market ka mood dekh le. Do your own research!","iv","witty"
"what.*ivp","IVP matlab Implied Volatility Percentile, bhai. Batata hai IV ka level past ke muqable kitna high ya low hai. Abhi IVP {ivp}%, matlab {ivp_status}. Strategy soch le! Do your own research!","ivp,ivp_status","witty"
"what.*vix","VIX market ka darr meter hai, bhai. Abhi {vix}% pe hai, matlab volatility high hai. Safe strategies khel, IV {iv}% hai. Do your own research!","vix,iv","witty"
"explain.*delta","Delta tera trade ka direction batata hai, bhai. 0.5 delta = 50% chance price ke sath move karega. Abhi delta {delta}, IV {iv}% hai. Adjust kar le! Do your own research!","delta,iv","witty"
"explain.*theta","Theta time ka dushman hai, bhai. Har din tera premium ghata deta hai. Abhi theta {theta} hai, short term plays ke liye careful reh. Do your own research!","theta","witty"
"explain.*vega","Vega IV ka dost hai, bhai. IV badhe to premium badhta hai. Abhi vega {vega}, IV {iv}% hai. Volatility ka khel dekh le! Do your own research!","vega,iv","witty"
"what.*greeks","Greeks tera trade ka GPS hain, bhai. Delta direction, gamma speed, theta time, vega IV ka khel. Abhi delta {delta}, IV {iv}% hai. Seekh le! Do your own research!","delta,iv","witty"
"what.*call.*option","Call option tujhe stock ya index kharidne ka right deta hai, bhai. Premium de, expiry tak faida le. IV {iv}% hai, costly ho sakta hai. Do your own research!","iv","witty"
"what.*put.*option","Put option tujhe stock ya index bechne ka right deta hai, bhai. Bearish market mein kaam aata hai. IV {iv}% hai, check kar le. Do your own research!","iv","witty"
"what.*strangle","Strangle bhi straddle jaisa hai, bhai, par alag strike pe call aur put kharidta hai. Cheaper, par bada move chahiye. IV {iv}% hai, soch le! Do your own research!","iv","witty"
"what.*iron.*condor","Iron condor ek low-risk strategy hai, bhai. Do call aur do put spread banata hai. Range-bound market mein faida. IV {iv}% hai, backtest kar le! Do your own research!","iv","witty"
"what.*iron.*fly","Iron fly hedged strategy hai, bhai. Short call + put ek strike pe, aur wings ke liye long call + put. IV {iv}% hai, premium accha mil sakta hai. Do your own research!","iv","witty"
"what.*butterfly.*spread","Butterfly spread ek tight range strategy hai, bhai. Call ya put ke teen strikes use karta hai. IV {iv}% hai, low risk ke liye try kar. Do your own research!","iv","witty"
"check.*portfolio.*risk","Bhai, portfolio ka margin {margin}% hai, aur gamma {gamma} high hai. Ek bada move to {loss_risk}% loss de sakta hai. Hedge ya cut kar le! Do your own research!","margin,gamma,loss_risk","serious"
"should.*exit.*trade","Bhai, IV {iv}% pe hai, aur gamma {gamma} risky zone mein. Margin {margin}% bhi tight hai. Exit kar le ya hedge daal, jaldi soch! Do your own research!","iv,gamma,margin","serious"
"gamma.*trap.*{strike}.*call","Haan bhai, {strike} call pe gamma {gamma} spike ho raha hai. 15%+ loss ka risk hai. Iron fly ya spread daal ke hedge kar le. Do your own research!","gamma,strike","serious"
"should.*roll.*{strike}.*put","Bhai, {strike} put ka premium abhi accha hai, IV {iv}%. Roll kar le to faida ho sakta hai, par expiry close hai to jaldi decide kar. Do your own research!","iv,strike","serious"
"what.*fii.*dii.*flow","FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida. Market ka mood {iv}% IV ke sath thoda tense hai. Strategy adjust kar le. Do your own research!","fii_flow,dii_flow,iv","witty"
"what.*market.*buzz","X pe traders bol rahe hain {buzz_topic} ka scene hai. {sentiment}% bullish vibe hai. IV {iv}% pe check kar, overtrade mat karna! Do your own research!","buzz_topic,sentiment,iv","witty"
"what.*news.*impact","Bhai, latest news mein {news_headline} ka scene hai. GPT ke hisaab se {impact}% chance hai bearish move ka. IV {iv}% hai, adjust kar le. Do your own research!","news_headline,impact,iv","serious"
"what.*community.*doing","SmartBhai ke {community_hedge}% users aaj hedging kar rahe hain, bhai. X pe {buzz_topic} ka buzz hai. IV {iv}% pe apna plan bana. Do your own research!","community_hedge,buzz_topic,iv","witty"
"am.*i.*overtrading","Bhai, last {trade_count} trades mein {trade_frequency} trades per day dikha. Thoda chill kar, journal check kar, aur IV {iv}% pe safe khel. Do your own research!","trade_count,trade_frequency,iv","serious"
"why.*revenge.*trade","Bhai, last {trade_count} trades mein {revenge_count} revenge trades dikhe. Loss ka peecha mat kar, journal likh aur IV {iv}% pe soch samajh ke khel. Do your own research!","trade_count,revenge_count,iv","serious"
"check.*trade.*bias","Bhai, journal ke hisaab se tu {bias} ka shikaar ho raha hai. Last {trade_count} trades mein {bias_count} baar yeh pattern dikha. Thoda sambhal ke! Do your own research!","bias,trade_count,bias_count","serious"
"why.*trade.*journal","Bhai, journal mein likhna zaroori hai! Last {trade_count} trades mein {bias} ka pattern dikha. Abhi likh le, nahi to FOMO mein galti hogi. Do your own research!","trade_count,bias","serious"
"what.*backtest.*result","Bhai, backtest ke hisaab se {strategy} ka win rate {win_rate}% hai last 6 months mein. Slippage adjust kar, aur IV {iv}% pe real-time check kar. Do your own research!","strategy,win_rate,iv","witty"
"suggest.*low.*risk","IV {iv}% pe low risk ke liye iron condor ya butterfly spread try kar, bhai. Margin {margin}% ke andar khel, aur backtest check kar. Do your own research!","iv,margin","witty"
"what.*expiry.*strategy","Expiry week hai, bhai! IV {iv}% pe strangle ya iron fly khel sakta hai, par gamma {gamma} high hai. Tight risk manage kar. Do your own research!","iv,gamma","witty"
"why.*trade.*failed","Bhai, trade fail ka reason {reason} ho sakta hai. IV {iv}% spike hua ya gamma {gamma} trap mein fas gaya. Journal mein likh, seekh le! Do your own research!","reason,iv,gamma","serious"
"what.*learn.*options","Options trading seekhna hai? Start with Greeks, bhai: delta, gamma, theta, vega. IV {iv}% ka role bada hai. Learn tab pe 10 tutorials hain, dekh le! Do your own research!","iv","witty"
"what.*dte","DTE matlab Days to Expiry, bhai. Kitne din bache hain option ke expire hone mein. Abhi DTE {dte} hai, theta {theta} ka asar dekh le. Do your own research!","dte,theta","witty"
"explain.*margin.*call","Margin call tab aata hai jab tera margin {margin}% se niche chala jata hai, bhai. Broker bolega paise daal ya position band kar. Hedge kar le! Do your own research!","margin","serious"
"what.*pnl","PnL tera profit aur loss ka hisaab hai, bhai. Abhi tera PnL {pnl}% hai. IV {iv}% pe check kar, koi bada risk mat lena. Do your own research!","pnl,iv","witty"
"what.*hedging","Hedging matlab risk kam karna, bhai. Put spread, iron condor ya delta-neutral plays use kar. IV {iv}% hai, market ka mood dekh le. Do your own research!","iv","witty"
"why.*market.*volatile","Bhai, market volatile hai kyunki VIX {vix}% pe hai aur IV {iv}% spike kiya. News ya FII/DII flows check kar, aur safe khel. Do your own research!","vix,iv","witty"
"what.*strike.*price","Strike price woh price hai jahan tu option use kar sakta hai, bhai. Call ya put ka base yahi hai. IV {iv}% pe premium dekh le. Do your own research!","iv","witty"
"what.*premium","Premium woh paisa hai jo tu option kharidne ya bechne ke liye deta hai, bhai. IV {iv}% aur DTE {dte} pe depend karta hai. Check kar le! Do your own research!","iv,dte","witty"
"suggest.*strategy.*beginner","Naye ho, bhai? IV {iv}% pe covered call ya cash-secured put try kar. Low risk hai, par Greeks samajh le. Learn tab check kar! Do your own research!","iv","witty"
"what.*moneyness","Moneyness batata hai tera option ka strike kahan hai, bhai. ITM = faida, OTM = sasta, ATM = balanced. IV {iv}% hai, soch le! Do your own research!","iv","witty"
"why.*loss.*today","Bhai, aaj loss ka reason {reason} ho sakta hai. IV {iv}% spike ya gamma {gamma} trap check kar. Journal likh, seekhna zaroori hai! Do your own research!","reason,iv,gamma","serious"
"what.*breakeven","Breakeven woh price hai jahan tera trade na profit na loss mein hai, bhai. Abhi breakeven {breakeven} pe hai, IV {iv}% dekh le. Do your own research!","breakeven,iv","witty"
"check.*trade.*history","Bhai, last {trade_count} trades mein {win_rate}% win rate hai. {bias} ka pattern dikha. Journal check kar, aur IV {iv}% pe plan bana. Do your own research!","trade_count,win_rate,bias,iv","serious"
"what.*risk.*management","Risk management matlab loss ko control karna, bhai. Stop-loss, hedge, aur margin {margin}% ke andar khel. IV {iv}% hai, careful reh! Do your own research!","margin,iv","witty"
